DATE,HIURN
2019-08-01,2.4
2019-09-01,2.3
2019-10-01,2.2
2019-11-01,2.1
2019-12-01,1.7
2020-01-01,2.3
2020-02-01,2.0
2020-03-01,2.0
2020-04-01,21.9
2020-05-01,20.7
2020-06-01,17.7
2020-07-01,16.0
2020-08-01,14.0
2020-09-01,15.6
2020-10-01,12.5
2020-11-01,11.2
2020-12-01,10.0
2021-01-01,7.9
2021-02-01,6.5
2021-03-01,5.9
2021-04-01,5.8
2021-05-01,5.6
2021-06-01,6.5
2021-07-01,5.6
2021-08-01,5.6
2021-09-01,5.3
2021-10-01,5.1
2021-11-01,4.7
2021-12-01,4.4
2022-01-01,4.0
2022-02-01,3.8
2022-03-01,3.4
2022-04-01,3.5
2022-05-01,3.6
2022-06-01,4.1
2022-07-01,3.7
2022-08-01,3.6
2022-09-01,3.4
2022-10-01,3.5
